NCTId,BriefTitle,OfficialTitle,OverallStatus,StartDate,CompletionDate,StudyType,Phase,Condition,InterventionName,PrimaryOutcomeMeasure,BriefSummary,EnrollmentCount,InclusionCriteria,ExclusionCriteria,HealthyVolunteers,Gender,MinimumAge,MaximumAge,StdAges,LocationCountry
NCT05488665,The COMPLETE Treatment of Bifurcation With Two-stent Techniques: Randomized Comparison of Crush Versus Culotte Technique,The COMPLETE Treatment of Bifurcation With Two-stent Techniques: Randomized Comparison of Crush Versus Culotte Technique,RECRUITING,2022-11-10,2028-09-27,INTERVENTIONAL,NA,Coronary Artery Disease,Crush technique; Culotte technique,Target lesion failure,"In this COMPLETE randomized trial, using the contemporary second-generation drug-eluting stent, we aimed to test whether the crush technique is superior to the culotte technique for the treatment of bifurcation lesions in terms of 1-year target-lesion failure.",512,"1. Age ≥19 years 2. De novo coronary lesions eligible for drug-eluting stent implantation 3. Medina 1,1,1 or 1,0,1 or 0,1,1 de novo bifurcation lesions (LM or non-LM) and those of main vessel or side branch can be covered by 2 stents 4. Reference vessel diameter of side branch ≥2.5 mm by visual estimation","1. Current or potential pregnancy 2. Inability to follow the patient over the period of 1 year after enrollment, as assessed by the investigator 3. Subjects with ST elevation myocardial infarction \<24 h from the onset of chest pain 4. Cardiogenic Shock",False,ALL,19 Years,N/A,ADULT; OLDER_ADULT,"Korea, Republic of"
NCT01592565,Exercise Cardiac Magnetic Resonance Imaging Accuracy for Cardiovascular Stress Testing,An In-state Multi-center Evaluation of Treadmill Exercise Stress Cardiac Magnetic Resonance,COMPLETED,2010-08,N/A,INTERVENTIONAL,NA,Coronary Artery Disease,Diagnostic Cardiac Imaging,Exercise stress CMR has equivalent or superior diagnostic and prognostic value compared to exercise stress nuclear scintigraphy in patients suspected of CAD (coronary artery disease),This study is being done to demonstrate a powerful new method for detecting heart disease that combines the proven prognostic capability of exercise stress testing with the superior image quality of Cardiac Magnetic Resonance Imaging (CMR). The investigators hope to demonstrate that exercise CMR has equivalent or superior diagnostic accuracy compared to exercise stress SPECT for detecting obstructive artery disease.,227,* any patient referred for stress SPECT * known or suspected ischemic heart disease * ability to perform adequate treadmill stress,"* any contraindication to MRI (e.g. ferromagnetic foreign body, cerebral aneurysm clip, pacemaker/ICD, severe claustrophobia) * renal insufficiency (GFR \< 40) * known allergy to gadolinium-based contrast or iodinated contrast (because of the research CTA (computed tomography angiography) in patients not referred for cath after 2 weeks)",False,ALL,18 Years,N/A,ADULT; OLDER_ADULT,United States
NCT03175965,Prognostic Value of P30 After Cardiac Arrest,Characteristics of the Somatosensory Evoked Potentials Indicating Poor Neurologic Outcome After Cardiac Arrest,COMPLETED,2017-07-01,2018-11-30,OBSERVATIONAL,N/A,Out-Of-Hospital Cardiac Arrest,Somatosensory evoked potential,Association of abscence of P30 with poor outcome without under the influence of hypothermia and sedation,"This study aims to examine whether P30 wave of somatosensory evoked potentials (SEP) is related with outcome after cardiac arrest. The study design is a prospective, multicenter-observational study. Patients survived after out-of-hospital cardiac arrest undergoing hypothermic-targeted temperature management will participate in the study. Relationship of P30 wave of SEP with the neurologic outcome on hospital discharge will be evaluated.",88,* Comatose survivors after out-of-hospital cardiac arrest,* Not treated by hypothermic-targeted temperature management,False,ALL,19 Years,N/A,ADULT; OLDER_ADULT,"Korea, Republic of"
NCT04024865,Domperidone and Risk of Serious Cardiac Events in Postpartum Women,Use of Domperidone and Risk of Serious Cardiac Events in Postpartum Women,COMPLETED,2017-09-01,2019-07-31,OBSERVATIONAL,N/A,Ventricular Tachyarrhythmia; Sudden Cardiac Death; Lactation; Breast Feeding,Domperidone; No domperidone,Ventricular tachyarrhythmia (VT) or sudden cardiac death (SCD),"The purpose of this study is to determine whether the use of domperidone is associated with an increased risk of serious cardiac events among postpartum women in the six months following delivery. The hypothesis is that the use of domperidone will be associated with an increased risk of serious cardiac events among postpartum women.

The investigators will carry out separate population-based cohort studies using health care databases in five Canadian provinces. Women with live births will be eligible to enter the cohort. We will identify all women who start domperidone during the six months following delivery and match them to similar women who do not start domperidone, with all included women followed until the occurrence of an adverse cardiac event or for up to six months after delivery. The results from the separate sites will be combined to provide an overall assessment of the risk of serious cardiac events in users of domperidone.",184929,"* Women aged between 15 and 55 years old with live births between April 1, 1997 and December 31, 2016 (or the latest available data at each site)",* Women with less than 365 days of healthcare coverage prior to the start of pregnancy * Women with a domperidone prescription in the year prior to or during pregnancy * Women with a diagnosis of Parkinson's disease or other diseases that cause autonomic dysfunction or use of antiparkinsonian agents anytime before delivery * Women with a diagnosis of gastroparesis in the year prior to or during pregnancy * Women with a diagnosis of ventricular tachyarrhythmia in the year prior to or during pregnancy,False,FEMALE,15 Years,55 Years,CHILD; ADULT,Canada
NCT05172765,Biomarker-Guided Optimization of Transcutaneous Vagal Stimulation for Atrial (BiG tVNS-AF),Biomarker-Guided Optimization of Transcutaneous Vagal Stimulation for Atrial (BiG tVNS-AF),RECRUITING,2022-09-14,2026-05-29,INTERVENTIONAL,NA,Paroxysmal Atrial Fibrillation,Transcutaneous Electrical Nerve Stimulation Device,Effects of tVNS on Atrial fibrillation burden,"This proposal aims to determine the effects of tVNS on autonomic tone, atrial substrate and neuromodulators in patients with paroxysmal atrial fibrillation (AF), investigate the chronic effects of optimal tVNS on AF burden in patients with paroxysmal AF over a 6-month period, compared with sham stimulation, and identify physiological and biochemical markers of response to chronic tVNS.",160,1. Paroxysmal atrial fibrillation,"1. Sick sinus syndrome 2. 2nd and 3rd degree AV block (without pacemaker), bifascicular block or prolonged (PR\>300ms) 1st degree AV block 3. History of vagotomy 4. Recurrent vasovagal syncope 5. Left ventricular ejection fraction \< 40% 6. Significant valvular disorder (i.e., prosthetic valve or hemodynamic significant valvular diseases) 7. Recent stroke (\< 3 months) 8. Myocardial infarction or hospitalization for heart failure (\< 3 months) 9. Severe heart failure (NYHA Class IV) 10. End stage kidney disease on dialysis 11. Pregnancy",False,ALL,21 Years,90 Years,ADULT; OLDER_ADULT,United States
NCT02944266,Focussed Echocardiography to Detect Preoperative Hypovolemia and Left Ventricular Dysfunction as a Predictor of Post-Induction Hypotension,Focussed Echocardiography to Detect Preoperative Hypovolemia and Left Ventricular Dysfunction as a Predictor of Post-Induction Hypotension,UNKNOWN,2016-01,2016-12,OBSERVATIONAL,N/A,Hypotension,Pre operative Focus assessed Transthoracic echocardiographic assessment.,Focussed Echocardiography to Detect Preoperative Hypovolemia and Left Ventricular Dysfunction as a Predictor of Post-Induction Hypotension,"This is an observational study to evaluate the role of a Bed side Focus assessed Transthoracic Echocardiography (FATE) in identifying the patients at a potential risk of developing hypotension secondary to general anesthesia induction using the FATE parameters like velocity time integral ( VTI ), Inferior venacava diameter , Caval index and Left ventricular end end diastolic area.",150,* Any ASA - I/II patient posted for a routine general anaesthesia procedure and who do not fit with the,". Exclusion Criteria: * a) Extremes of age \<18 years and \>60 years   b) BMI\<18 and \>40   c) Patients with pre-existing hemodynamic instability, ventricular dysfunction and Sepsis. d) Patients on beta blocking agents. e) Preinduction mean arterial pressure of \<70 mm hg.",True,ALL,18 Years,60 Years,ADULT,India
NCT05866666,Cardiac Performance System Data Collection Study,Cardiac Performance System Data Collection Study,RECRUITING,2023-05-30,2024-05-31,OBSERVATIONAL,N/A,Cardiac Disease,Cardiac Performance System (NSR),Cardiac Performance System electronic data for Cardiac Output; Cardiac Performance System electronic data for Pulmonary Artery Pressure; Cardiac Performance System electronic data for Pulmonary Capillary Wedge Pressure; Pulmonary Artery Catheter electronic data for Cardiac Output; Pulmonary Artery Catheter electronic data for Pulmonary Artery Pressure; Pulmonary Artery Catheter electronic data for Pulmonary Capillary Wedge Pressure; Echocardiography electronic data for Ejection Fraction,Non-significant risk device study to conduct evaluation of the performance of new device for monitoring of cardiac function (based on previous iterations 510(k) 173156),115,"* Ability to provide written informed consent * 22 years of age or older * Referred for cardiac catheterization for reasons including heart failure, evaluation before transplant, pulmonary hypertension, shortness of breath, valvular disease, etc.",* Previous Heart Transplant * Presence of Left Ventricular Assist Device * Presence of a Holter monitor or any other electrical leads on the chest at the time of sensor placement * Surgical scars/wounds/bandages/ports at the site of sensor placement,True,ALL,22 Years,N/A,ADULT; OLDER_ADULT,United States
NCT00760266,Blood Pressure Lowering of Aliskiren HCTZ Compared to HCTZ in Stage 2 Systolic Hypertension in Older Population,"An 8-week Randomized, Double-blind, Parallel-group, Multi-center, Active-controlled Dose Escalation Study to Evaluate the Efficacy and Safety of Aliskiren HCTZ (300/25 mg) Compared to HCTZ (25 mg) in Older Patients With Stage 2 Systolic Hypertension",COMPLETED,2008-09,2009-04,INTERVENTIONAL,PHASE4,Hypertension,Aliskiren; Hydrochlorothiazide,Change in Mean Sitting Systolic Blood Pressure (msSBP) From Baseline to Week 4,The purpose of the study is to evaluate the efficacy and safety of initial use of a fixed dose combination of aliskiren Hydrochlorothiazide (HCTZ) compared to Hydrochlorothiazide in older population with Stage 2 systolic hypertension.,451,"1. Male or female outpatients, ≥ 55 years old 2. Patients with essential hypertension 3. Prior to randomization: Patients must have an office cuff mean sitting Systolic Blood Pressure ≥ 160 mm Hg and \< 200 mm Hg 4. Patients who are eligible and able to participate in the study, and who are willing to give informed consent before any assessment is performed","1. Office blood pressure measured by cuff (msSBP ≥ 200 mm Hg and/or msDBP ≥ 110 mm Hg) at Visits 1-5 2. History or evidence of a secondary hypertension of any etiology (e.g., uncorrected renal artery stenosis, pheochromocytoma). 3. History of hypertensive encephalopathy or heart failure (New York Heart Association \[NYHA\] Class II-IV) 4. Cerebrovascular accident, transient ischemic cerebral attack (TIA), myocardial infarction, coronary bypass surgery, or any percutaneous coronary intervention (PCI) within 1 year prior to Visit 1 5. Serum sodium less than the lower limit of normal, serum potassium \< 3.5 mEq/L (corresponding to 3.5 mmol/L) or ≥ 5.3 mEq/L (corresponding to 5.3 mmol/L), or dehydration at Visit 1. 6. Pregnant or nursing (lactating) women, where pregnancy is defined as the state of a female after conception and until the termination of gestation, confirmed by a positive hCG laboratory test (\> 5 mIU/mL) 7. Use of other investigational drugs within 30 days of enrollment. Other exclusions may apply.",False,ALL,55 Years,N/A,ADULT; OLDER_ADULT,United States
NCT05523466,Effect of Acupuncture on Heart Rate Variability in Multiple Sclerosis,Effect of Acupuncture on Heart Rate Variability in Individuals With Multiple Sclerosis,UNKNOWN,2022-12,2023-12,INTERVENTIONAL,NA,Multiple Sclerosis,Acupuncture Active; Acupuncture Sham,Changes in the Heart Rate Variability after intervention,"The Objective of this study is to evaluate the heart rate variability in individuals with multiple sclerosis during the applicability of Acupuncture, to analyze the behavior of the autonomic nervous system before, during, and after therapy and the changes of the condition.",40,* Individuals diagnosed with Multiple Sclerosis * Aged over 18 years * Motor and intellectual capacity to understand the evaluations * Light and moderate functional classification levels (EDSS scale) * Who accept to participate in the study through agreement with informed consent form,* Do not understand the evaluations * Cardiac diseases that impede the assessment of HRV * Have a cardiac pacemaker.,False,ALL,18 Years,50 Years,ADULT,N/A
NCT03713866,Peri-Procedural Transmural Electrophysiological (EP) Imaging of Scar-Related Ventricular Tachycardia,Peri-Procedural Transmural Electrophysiological Imaging of Scar-Related Ventricular Tachycardia,RECRUITING,2019-11-01,2027-03-31,INTERVENTIONAL,NA,Ventricular Tachycardia; Myocardial Infarction,EP Imaging and Testing,Termination of Ventricular Tachycardia; VT recurrence rate,"Ventricular tachycardia (VT) contributes to over 350,000 sudden deaths each year in the US. Malignant VTs involve an electrical ""short circuit"" in the heart, formed by narrow channels of surviving tissue inside myocardial scar. An important treatment is to use catheter ablation to ""block"" the channel that forms the circuit. Effective ablation requires imaging guidance to visualize the VT circuit relative to scar structures in 3D. Unfortunately, with conventional catheter mapping, up to 90% of the VT circuits are too short-lived to be mapped. For the 10% ""mappable"" VTs, their data are only available during ablation and limited to one ventricular surface. This inadequacy of functional VT data largely limits the knowledge about scar-related VT and ablation strategies, and reduces the ability of clinicians to identify ablation targets and assess ablation outcome.

The central hypothesis of this proposal is that functional VT data, integrated with CT or MRI scar data in 3D, can improve VT ablation efficacy with pre-procedural identification of ablation targets and post-procedural mechanistic elucidation of ablation failure. This research builds on the rapidly increasing clinical interest in electrocardiographic imaging (ECGi), an emerging technique that obtains cardiac electrical activity through inverse reconstructions from ECGs. The specific objective is to push the boundary of ECGi to provide - as a conjunction to intra-procedural catheter mapping - pre-ablation and post-ablation imaging of functional VT circuits integrated with 3D scar structure.",20,"* One or more episodes of sustained monomorphic VT * Referred for catheter ablation * Previously implanted ICD * Signed the patient informed consent form * Able and willing to comply with all pre-, post-, and follow-up testing and requirements","* Have estimated Glomerular Filtration Ratio (eGFR) less than 30 * Have a life expectancy less than 6 months or are listed for heart transplantation at time of inclusion * Are pregnant * Are on IV inotropic agents * Have any contraindication to catheter ablation (including but not limited to mechanical prosthetic aortic and mitral valves, known protruding Left Ventricular (LV) thrombus * New York Heart Association (NYHA) functional class IV * Had ST wave elevation myocardial infarction within \< 1 month * Unwilling or unable to undergo cardiac MRI scan AND unwilling or unable to undergo cardiac CT scan (e.g. contrast allergy).",False,ALL,18 Years,85 Years,ADULT; OLDER_ADULT,Canada
NCT01186666,Imaging and Biomarkers of Atherosclerosis in Patients With Stable or Unstable Coronary Artery Disease,BIOmarkers of CORonary Events-2 : Imaging and Biomarkers of Atherosclerosis in Patients With Stable or Unstable Coronary Artery Disease,COMPLETED,2010-02,2013-08,INTERVENTIONAL,NA,Atherosclerosis; Coronary Artery Disease; Acute Coronary Syndrome,Coronary intervention using IVUS-VH & FDG PET-MDCT; Coronary intervention using IVUS-VH & FDG PET-MDCT,"Three imaging modalities are used to compare plaque phenotypes between patients with ACS vs stable CAD. (coronary IVUS-VH, MDCT coronary angiography, AORTO-carotid FDG PET-CT)","In this study, multimodal imaging of atherosclerosis and dosage of new circulating biomarkers will be used to compare patients with stable or unstable coronary artery disease",85,"First group: Non ST-elevation acute coronary syndrome * Symptoms compatible with acute myocardial ischaemia * Presence of either significant ST-T changes without persistent ST elevation or positive troponin I * And successful stenting of culprit, de novo coronary stenosis located on native coronary arteries Second group: Stable coronary artery disease * Stable angina or silent myocardial ischaemia (documented by a positive stress test) * And successful stenting of culprit, de novo coronary stenosis located on native coronary arteries","In both groups * Absence of percutaneous coronary angioplasty * IVUS imaging not feasible * Heart failure (≥NYHA class 2) * Severe, persistent arrhythmia * Renal failure (GFR \< 60 ml/min using MDRD formula) * History of autoimmune or inflammatory disease, recent sepsis (\< 1 month), neoplasm * Females without contraception (if at childbearing age) * Pregnant of child feeding females * Homeless * Patients with no health coverage * Refusal to sing informed consent * Allergy to FDG or iodinated contrast media In stable group: * History of acute coronary syndrome * History of stroke",False,ALL,18 Years,N/A,ADULT; OLDER_ADULT,France
NCT01741766,The Effects of Stretching Training on Arterial Function and Autonomic Control,"The Effects of 8 Weeks of Stretching Training on Arterial Stiffness, Wave Reflection, Endothelial Function and Cardiac Autonomic Control.",COMPLETED,2011-05,2011-12,INTERVENTIONAL,NA,Obesity; Pre-hypertension; Hypertension,Stretching Training,Blood pressure,"Hypertension is a major risk factor for cardiovascular disease. Hypertension and abdominal obesity are associated with dysfunction of the main mechanisms of cardiovascular regulation, the autonomic nervous system and the vascular endothelium. Increased sympathetic activity and endothelial dysfunction are associated with increased arterial stiffness, which is an independent risk factor for the development of hypertension and other cardiovascular diseases. The recommended intervention for controlling BP in pre- and stage 1- hypertensive individuals is lifestyle modifications such as exercise, and not drug therapy.Although aerobic and resistance exercise has been shown to be beneficial for the cardiovascular system, special populations such as the elderly and obese may have physical and/or musculoskeletal limitations which may limit their participation in these exercise modalities.

Stretching is a form of exercise that is widely recommended for injury prevention. Among the benefits of stretching are an increased flexibility, enhanced muscular coordination, stress relief, improved range of motion and an improved posture. Previous studies have shown stretching training to increase arterial compliance and acutely increase sympathetic nerve activity. In addition, low flexibility levels have been found to be associated with arterial stiffness. Given that stretching of skeletal muscle causes an increase in sympathetic nerve activity; repetitive stimulation of sympathetic activity induced by habitual stretching, might chronically reduce resting sympathetic activity. The reduction in sympathetic activity might result in a decrease of arterial stiffness and blood pressure.

The investigators hypothesis is that 8 weeks of stretching training would reduce arterial stiffness, blood pressure and sympathetic activity in obese women. The investigators also hypothesize that the improved arterial function with stretching would be associated with increases in flexibility levels.",30,* 50-65 years old * Blood pressure between 121/81 and 159/99 mmHg * Body mass index of 25-39.9 * Sedentary or low active (less than 2 hr per wk),"* Younger than 50 or older than 65 years of age * Body mass index lower than 25, or 40 or higher * Physically active or competitively active * Smoker * Systolic blood pressure higher than 160 mmHg * Use of hormone replacement therapy of less than 1 yr * Use of calcium channel blocker or beta blockers * Type 1 diabetes * Type 2 diabetes * Known cardiovascular disease",True,ALL,50 Years,65 Years,ADULT; OLDER_ADULT,United States
NCT01306565,High Dose and Low Dose of Atorvastatin in Patients With Unstable Angina and NSTEMI (Non ST Elevation MI),Comparison Between Effect of High Dose and Low Dose of Atorvastatin in Reduction Level of CRP in Patients With Unstable Angina and NSTEMI (Non ST Elevation MI),COMPLETED,2009-01,2011-01,INTERVENTIONAL,NA,Cardiovascular Disease,Low dose Atorvastatin; High dose atorvastatin,CRP reduction,The aim of this study is to compare the effect of high dose and low dose of Atorvastatin in reduction level of C-reactive protein (CRP) in patients with unstable angina and NSTEMI (Non ST Elevation MI) attending Shahid Mohammadi hospital in Bandar Abbas.,100,* Patients with unstable angina with chest discomfort at rest with normal EKG or St depression (at least 0.1mv) in two consecutive leads or new and deep T inversion (at least 0.2mv),* Myocardial Infarction with ST elevation * Diabetes Mellitus * Previous statin use * Current infectious disease,False,ALL,N/A,N/A,CHILD; ADULT; OLDER_ADULT,"Iran, Islamic Republic of"
NCT05241665,First in Human Study,A First in Human Study of the SpectraWAVE Imaging System,COMPLETED,2022-07-28,2023-05-21,OBSERVATIONAL,N/A,Coronary Artery Disease,SpectraWAVE Imaging System,Feasibility Evaluation,"Investigational, prospective, multi-site, first in human, feasibility evaluation",25,"1. Subject must be at least 18 years of age. 2. Patient with an indication for percutaneous coronary intervention (PCI) including:    * Angina (stable or unstable),    * Silent ischemia (a visually estimated target lesion diameter stenosis of ≥70%, a positive non-invasive stress test, or fractional flow reserve (FFR) ≤0.80 or iFR ≤0.89 must be present),    * Non-ST-elevation myocardial infarction (NSTEMI), or    * Recent ST-Segment Elevation Myocardial Infarction (STEMI) (\>48 hours from initial presentation and stable). 3. Patients will undergo cardiac catheterization and possible or definite PCI. 4. Signed written informed consent. Angiographic Inclusion Criteria: 1. The target lesion must be located in a native coronary artery with visually estimated reference vessel diameter of ≥2.25 mm to ≤5.2 mm and diameter stenosis of ≥50% but \<100%. 2. Lesion length \<40 mm.","1. Serum creatinine ≥ 2.5 mg/dL Note: chronic dialysis dependent patients are eligible for enrolment regardless of creatinine. 2. STEMI within 48 hours of initial time of presentation to the first treating hospital, whether at a transfer facility or the study hospital. 3. PCI within 24 hours preceding the study procedure. 4. PCI of a lesion within the target vessel within 6 months prior to the study procedure. 5. Cardiogenic shock (defined as persistent hypotension (systolic blood pressure \<90 mm/Hg for more than 30 minutes) or requiring pressors or hemodynamic support, including an Intra-Aortic Balloon Pump, at time of procedure. 6. Mobitz II second degree or complete heart block. 7. Unstable ventricular arrhythmias 8. Pulmonary edema (defined as patient with shortness of breath, evidence of volume overload on physical exam, and crepitations on physical exam (\>1/3 of lungs) or radiographic interstitial or alveolar pulmonary edema). 9. Subject is intubated. 10. Left ventricular ejection fraction (LVEF) ≤30% by the most recent imaging test within 3 months prior to procedure. If no LVEF test result within 3 months is available, it must be assessed by echocardiography, multiple gated acquisition (MUGA), magnetic resonance imaging (MRI), ventriculography (LV gram) or other method. 11. Severe valvular disease (e.g., severe mitral regurgitation or severe aortic stenosis) 12. Subject has had a cerebrovascular accident or transient ischemic neurological attack (TIA) within the past 6 months, or any prior intracranial bleed, or any permanent neurologic defect, or any known intracranial pathology (e.g., aneurysm, arteriovenous malformation, etc.). 13. Subject has extensive peripheral vascular disease that precludes safe 6 French sheath insertion.     Note: femoral arterial disease does not exclude the patient if radial access may be used. 14. Presence of 1 or more co-morbidities which reduces life expectancy to less than 6 months or may interfere with protocol study processes. 15. Subject has known hypersensitivity or contraindication to radiocontrast dye that cannot be adequately pre-medicated. 16. Subject has previously received or is scheduled to receive radiotherapy to a coronary artery (vascular brachytherapy), or the chest/mediastinum. 17. Subject has a platelet count \<100,000 cells/mm3 or \>700,000 cells/mm3. 18. Subject has a documented or suspected hepatic disorder as defined as cirrhosis or Child-Pugh ≥ Class B. 19. Subject has a history of bleeding diathesis or coagulopathy or has had a significant gastro-intestinal or significant urinary bleed within the past 6 months. 20. Subject is currently participating in another investigational drug or device clinical study that has not yet completed its primary endpoint. 21. Women who are pregnant or breastfeeding 22. Women of childbearing potential unless a pregnancy test is negative within 1 week before study procedure. 23. Presence of other anatomic or comorbid conditions, or other medical, social, or psychological conditions that, in the investigator's opinion, could limit the subject's ability to participate in the clinical investigation or impact the scientific soundness of the clinical investigation results.     Angiographic Exclusion Criteria: 24. Left main diameter stenosis ≥30% or left main PCI planned. 25. Study target lesion in a bypass graft. 26. The target lesion is an ostial right coronary artery (RCA) stenosis. 27. Chronic total occlusion (Thrombolysis in Myocardial Infarction (TIMI) flow 0/1) study target lesion. 28. Bifurcation study lesion with a planned dual stent strategy. 29. In-stent restenosis study target lesion. 30. Any study lesion characteristic resulting in the expected inability to deliver the catheter to the lesion pre and post PCI (e.g., moderate or severe vessel calcification or tortuosity). 31. The target lesion contains more than a small amount of thrombus (as assessed angiographically) or is a stent thrombosis. Group 2:",False,ALL,18 Years,N/A,ADULT; OLDER_ADULT,Colombia
NCT02805465,Comparison of His Bundle Pacing and Bi-Ventricular Pacing in Heart Failure With Atrial Fibrillation,Comparison of His Bundle Pacing (HBP) and Bi-Ventricular Pacing(BiVP) in Heart Failure (HF) Patients With Atrial Fibrillation (AF) Who Need Atrial-Ventricular Node (AVN) Ablation,UNKNOWN,2016-01,2018-07,INTERVENTIONAL,NA,Heart Failure; Atrial Fibrillation,CRT Device and Bi-ventricular pacing; CRT Device and His-bundle Pacing,Change of LVEF(%) from baseline in HBP and BiV Group,"This study is a multicenter, prospective, randomized cross-over study to compare His Bundle Pacing (HBP) with Bi-Ventricular Pacing (BiVP) in HF Patients with AF who need atrial-ventricular node ablation.",50,* Subject is at least 18 years old * Subject or authorized legal guardian or representative has signed and dated the Informed * Subject is expected to remain available for follow-up visits at the study center * Subjects with heart failure NYHA Class II-IV * Subjects with LVEF no greater than 40% * Subjects with persistent atrial fibrillation or atrial flutter with uncontrolled ventricular rate,"* Subjects with the width of ECG Q, R, S wave (QRS) complex \>120ms * Subjects with life expectancy less than 3 years * Subjects with mechanical right heart valve * Subjects with primary valvular disease * Subjects with heart transplant, or is currently on a heart transplant list * Subjects who are pregnant, or of childbearing potential and not on a reliable form of birth control * Subjects with significant renal dysfunction, as manifested by serum creatinine level \>2.5 mg/dl or ≥275 μmol/L or estimated glomerular filtration rate (GFR) ≤30 mL/min/1.72 m2, which is documented within the 30 days prior to enrollment or at baseline. * Subjects with significant hepatic dysfunction, as evidenced by a hepatic function panel (serum) \> 3 times upper limit of normal, which is documented within the 30 days prior to enrollment or at baseline. * Subjects with chronic or treatment-resistant severe anemia (hemoglobin \<10.0 g/dL), which is documented within the 30 days prior to enrollment or at baseline",False,ALL,18 Years,N/A,ADULT; OLDER_ADULT,China
NCT00525265,A Clinical Pharmacological Study of OPC-41061 in the Treatment of Cardiac Edema (Congestive Heart Failure),A Clinical Pharmacological Study of OPC-41061 in the Treatment of Cardiac Edema (Congestive Heart Failure),COMPLETED,2007-09,2009-01,INTERVENTIONAL,PHASE3,Cardiac Edema,OPC-41061(Tolvaptan); Placebo,Body Weight,"To investigate the pharmacokinetics, pharmacodynamics (urine volume and fluid intake), efficacy(body weight, pulmonary congestion and other congestions including cardiothoracic ratio) and safety of 7-day repeated oral administration of OPC-41061 at 7.5 mg or 15 mg in congestive heart failure (cardiac edema) patients with extracellular volume expansion despite the use of a diuretic.",20,"1. Subjects with cardiac edema receiving diuretic treatments 7 days prior to the start of treatment. 2. Subjects able to receive a daily regular dosage of furosemide at 40-mg to 80-mg from the observation period until the end-of-treatment examination. 3. CHF patients with lower limb edema, jugular venous distention, or pulmonary congestion due to extracellular volume expansion. 4. Male or female subjects between the age of 20 and 85, inclusive. 5. Subjects able to stay at the study site from the day before the start of the run-in observation period until completion of post-dosing examination 2. 6. Subjects capable of giving informed consent to participate in the study of their own free will.","1. Subjects with heart failure with markedly fluctuating symptoms. 2. Subjects with an assisted circulation device. 3. Subjects with any of the following complications or symptoms:(1)Suspected decrease in circulatory blood flow,(2)Hypertrophic cardiomyopathy (other than dilated phase),(3)Cardiac valve disease with significant heart valve stenosis,(4)Hepatic coma. 4. Subjects who develop acute myocardial infarction within 30 days prior to the screening examination. 5. Subjects with well-defined diagnosis of active myocarditis or amyloid cardiomyopathy. 6. Subjects with any of the following complications or symptoms:(1)Diabetes mellitus with poorly controlled blood glucose,(2)Anuria,(3)Urination impaired due to urinary tract stricture,urinary calculus,tumor in urinary tract,or other cause. 7. Subjects with a history of any of the following diseases:(1)Sustained ventricular tachycardia or ventricular fibrillation within 30 days prior to the screening examination in patients without an implanted defibrillator,(2)Cerebrovascular disorder within 6 months prior to the screening examination (other than asymptomatic cerebral infarction),(3)Hypersensitivity or idiosyncratic reaction to benzazepine derivatives. 8. Subjects who are morbidly obese (body mass index exceeding 35). 9. Subjects with systolic blood pressure in the decubitus position below 90 mmHg. 10. Subjects with any of the following abnormal laboratory values:(1)Total bilirubin \> 3.0 mg/dL,(2) serum creatinine \> 3.0 mg/dL,(3)serum sodium \> 147 mEq/L,(4)serum potassium \> 5.5 mEq/L. 11. Subjects who are unable to take oral medication. 12. Female subjects who are pregnant, possibly pregnant, or lactating, or who plan to become pregnant. 13. Subjects who received any investigational drug other than OPC-41061 within 30 days prior to the screening examination. 14. Subjects who previously participated in this or any other study of OPC-41061 and received OPC-41061. 15. Subjects otherwise judged by the investigator or subinvestigator to be inappropriate for inclusion in the study.",False,ALL,20 Years,85 Years,ADULT; OLDER_ADULT,Japan
NCT00474565,Coronary Artery and Coronary Artery Bypass Graft Imaging Using a Specialized Catheter and Computed Tomography,Contrast-Enhanced Coronary Artery and Coronary Artery Bypass Graft Imaging Using Aortic Root Catheter Injection With Computed Tomographic Angiography (CTA),WITHDRAWN,2007-02,2008-12,INTERVENTIONAL,PHASE1,Coronary Artery Disease,Placement of an aortic root pigtail catheter.,Coronary artery diameters and degree of stenosis are assessed and compared between conventional cath angio and new CTA study.,"The present study relates to a new approach to coronary artery and coronary artery by-pass graft imaging, and more particularly to computed tomographic angiography following an aortic root injection of a low amount of contrast (up to 30 cc) via a percutaneously placed catheter (Vanguard DX, Medrad Inc.) positioned in the aortic root.

The objective of the study is to show the feasibility of Coronary artery CTA using aortic root injection of contrast compared to the standard invasive cardiac catheterization.",0,1. Male and female patients that have an abnormal nuclear medicine heart scan and are already scheduled for cardiac catheterization for evaluation of coronary artery disease or disease of coronary artery bypass grafts will be asked to participate in this trial. 2. Provided informed consent. 3. Evaluation by a Cardiology Division staff or Cardiology nurse clinician.,1. Patient is currently enrolled in another related research study. 2. Less than 18 years of age. 3. Pregnant patients. 4. Abnormal renal function with creatinine equal to or greater than 1.6 mg/dl or those subjects requiring dialysis. 5. Patients with chronic obstructive pulmonary disease or heart-failure with cardiac ejection-fraction less than 30%. 6. Patients with known sensitivity to beta-blockers (Lopressor) or have asthma. 7. Patients receiving an abnormally large volume of contrast media during cardiac catheterization (\> 200cc),False,ALL,20 Years,N/A,ADULT; OLDER_ADULT,United States
